year,championshipWinnerId,constructorWinnerId
1950,642,51
1951,579,6
1952,647,6
1953,647,6
1954,579,6
1955,579,131
1956,579,6
1957,579,105
1958,578,6
1959,356,170
1960,356,170
1961,403,6
1962,289,66
1963,373,172
1964,289,66
1965,373,66
1966,356,191
1967,304,191
1968,289,180
1969,328,196
1970,358,6
1971,328,25
1972,224,1
1973,328,25
1974,224,6
1975,182,6
1976,231,6
1977,182,6
1978,207,32
1979,222,6
1980,178,3
1981,137,3
1982,177,6
1983,137,6
1984,182,1
1985,117,1
1986,117,3
1987,137,3
1988,117,1
1989,117,1
1990,102,1
1991,102,1
1992,95,3
1993,117,3
1994,30,3
1995,30,22
1996,71,3
1997,35,3
1998,57,1
1999,57,6
2000,30,6
2001,30,6
2002,30,6
2003,30,6
2004,30,6
2005,4,4
2006,4,4
2007,8,1
2008,1,6
2009,18,23
2010,20,9
2011,20,9
2012,20,9
2013,20,9
2014,1,131
2015,1,131
2016,3,131
2017,1,131
2018,1,131
2019,1,131
2020,1,131
2021,830,131
2022,830,9
2023,830,9
2024,830,1
